date,event,gym,book_link
2017-08-20T00:00:00+08:00,射箭,國立體育大學田徑場,
2017-08-21T00:00:00+08:00,射箭,國立體育大學田徑場,/ticket/area/17_TPE_01/2412
2017-08-22T00:00:00+08:00,射箭,國立體育大學田徑場,/ticket/area/17_TPE_01/2413
2017-08-23T00:00:00+08:00,射箭,國立體育大學射箭場,/ticket/area/17_TPE_01/2414
2017-08-24T00:00:00+08:00,射箭,國立體育大學射箭場,/ticket/area/17_TPE_01/2415
2017-08-23T00:00:00+08:00,田徑,臺北田徑場,/ticket/area/17_TPE_02/2340
2017-08-24T00:00:00+08:00,田徑,臺北田徑場,/ticket/area/17_TPE_02/2416
2017-08-25T00:00:00+08:00,田徑,臺北田徑場,/ticket/area/17_TPE_02/2417
2017-08-26T00:00:00+08:00,田徑,臺北田徑場,/ticket/area/17_TPE_02/2418
2017-08-27T00:00:00+08:00,田徑,臺北田徑場,/ticket/area/17_TPE_02/2419
2017-08-28T00:00:00+08:00,田徑,臺北田徑場,/ticket/area/17_TPE_02/2420
2017-08-23T00:00:00+08:00,羽球,臺北體育館,/ticket/area/17_TPE_03/2341
2017-08-24T00:00:00+08:00,羽球,臺北體育館,/ticket/area/17_TPE_03/2421
2017-08-25T00:00:00+08:00,羽球,臺北體育館,/ticket/area/17_TPE_03/2422
2017-08-27T00:00:00+08:00,羽球,臺北體育館,/ticket/area/17_TPE_03/2423
2017-08-28T00:00:00+08:00,羽球,臺北體育館,/ticket/area/17_TPE_03/2424
2017-08-29T00:00:00+08:00,羽球,臺北體育館,/ticket/area/17_TPE_03/2425
2017-08-20T00:00:00+08:00,棒球,臺北市天母棒球場,
2017-08-20T00:00:00+08:00,棒球,新北市新莊棒球場,
2017-08-22T00:00:00+08:00,棒球,臺北市天母棒球場,/ticket/area/17_TPE_04/2428
2017-08-22T00:00:00+08:00,棒球,新北市新莊棒球場,/ticket/area/17_TPE_04/2429
2017-08-23T00:00:00+08:00,棒球,臺北市天母棒球場,/ticket/area/17_TPE_04/2430
2017-08-23T00:00:00+08:00,棒球,新北市新莊棒球場,/ticket/area/17_TPE_04/2431
2017-08-25T00:00:00+08:00,棒球,臺北市天母棒球場,/ticket/area/17_TPE_04/2432
2017-08-25T00:00:00+08:00,棒球,新北市新莊棒球場,/ticket/area/17_TPE_04/2433
2017-08-26T00:00:00+08:00,棒球,臺北市天母棒球場,/ticket/area/17_TPE_04/2434
2017-08-26T00:00:00+08:00,棒球,新北市新莊棒球場,/ticket/area/17_TPE_04/2435
2017-08-27T00:00:00+08:00,棒球,新北市新莊棒球場,/ticket/area/17_TPE_04/2436
2017-08-28T00:00:00+08:00,棒球,臺北市天母棒球場,/ticket/area/17_TPE_04/2437
2017-08-28T00:00:00+08:00,棒球,新北市新莊棒球場,/ticket/area/17_TPE_04/2438
2017-08-29T00:00:00+08:00,棒球,臺北市天母棒球場,/ticket/area/17_TPE_04/2921
2017-08-20T00:00:00+08:00,籃球,臺北小巨蛋,
2017-08-20T00:00:00+08:00,籃球,新竹市立體育館,
2017-08-20T00:00:00+08:00,籃球,臺北市立大學天母校區體育館,
2017-08-20T00:00:00+08:00,籃球,臺北和平籃球館,
2017-08-21T00:00:00+08:00,籃球,臺北小巨蛋,/ticket/area/17_TPE_05/2442
2017-08-21T00:00:00+08:00,籃球,新竹市立體育館,/ticket/area/17_TPE_05/2443
2017-08-21T00:00:00+08:00,籃球,臺北市立大學天母校區體育館,/ticket/area/17_TPE_05/2444
2017-08-21T00:00:00+08:00,籃球,臺北和平籃球館,/ticket/area/17_TPE_05/2445
2017-08-22T00:00:00+08:00,籃球,臺北小巨蛋,/ticket/area/17_TPE_05/2446
2017-08-22T00:00:00+08:00,籃球,新竹市立體育館,/ticket/area/17_TPE_05/2447
2017-08-22T00:00:00+08:00,籃球,臺北市立大學天母校區體育館,/ticket/area/17_TPE_05/2448
2017-08-22T00:00:00+08:00,籃球,臺北和平籃球館,/ticket/area/17_TPE_05/2449
2017-08-23T00:00:00+08:00,籃球,臺北小巨蛋,/ticket/area/17_TPE_05/2450
2017-08-23T00:00:00+08:00,籃球,新竹市立體育館,/ticket/area/17_TPE_05/2451
2017-08-23T00:00:00+08:00,籃球,臺北市立大學天母校區體育館,/ticket/area/17_TPE_05/2452
